dataset,category,balancer,classifier,n_features_selected,balancing_time_sec,accuracy,precision,recall,f1,auc,train_time_sec
nslkdd,baseline,raw,DT,8,0.0,76.6013129879347,95.71739656423905,61.65354944284267,74.99881510972084,0.7765016913686713,0.10100364685058594
nslkdd,baseline,raw,RF,8,0.0,75.9625621007807,93.56051703877792,62.04316995246629,74.60994236986366,0.8738927682028065,1.2259747982025146
nslkdd,baseline,raw,ET,8,0.0,76.65897799858055,94.71943295924395,62.47954492324476,75.2934547844868,0.8705350506678783,0.8548941612243652
nslkdd,baseline,raw,LR,8,0.0,76.8319730305181,94.59681200187529,62.8925426634458,75.5534753100866,0.9014115352048709,0.34308671951293945
nslkdd,baseline,raw,XGB,8,0.0,77.43967352732435,95.93264555911301,63.04059845710278,76.08388977710901,0.8515140911386847,1.0497121810913086
nslkdd,baseline,raw,LGBM,8,0.0,78.75709723207949,96.09213843685538,65.33935946388218,77.78653926434436,0.8894585468933981,5.223657608032227
nslkdd,baseline,raw,DNN,8,0.0,75.81174591909155,94.97805948317894,60.718460219745964,74.07900366021771,0.8463641473445829,20.406209468841553
nslkdd,baseline,ros,DT,12,0.09099912643432617,77.00053229240596,96.54333008763388,61.80939764669212,75.36700080763931,0.7386117447710348,0.12321662902832031
nslkdd,baseline,ros,RF,12,0.09099912643432617,76.1000709723208,96.25947558096185,60.36000935089223,74.19540229885058,0.9257670900029316,1.4524710178375244
nslkdd,baseline,ros,ET,12,0.09099912643432617,77.31990773598297,96.36079750180158,62.51850697420712,75.83534193487405,0.9191133137528866,1.233339548110962
nslkdd,baseline,ros,LR,12,0.09099912643432617,75.19073811213627,95.71861581207376,59.058676848749315,73.04708206833406,0.8660821267715766,0.5316226482391357
nslkdd,baseline,ros,XGB,12,0.09099912643432617,74.80482611781405,96.83121644624852,57.624873373334374,72.25207620908647,0.9182288940531761,0.9673159122467041
nslkdd,baseline,ros,LGBM,12,0.09099912643432617,74.57860184528035,96.53997378768021,57.398893477752665,71.99335385818306,0.9334484196328519,0.7134332656860352
nslkdd,baseline,ros,DNN,12,0.09099912643432617,77.92760823278921,95.08779983932055,64.56011844463492,76.90522602803304,0.9178032604275563,19.215784072875977
nslkdd,ml_based,smote,DT,12,2.19392728805542,77.46185237757275,96.59773984130801,62.612015896516795,75.97749515389344,0.7453495395886014,0.12462162971496582
nslkdd,ml_based,smote,RF,12,2.19392728805542,76.31742370475514,96.27068411953569,60.74962986051585,74.49237972385457,0.9231870126368404,1.4988150596618652
nslkdd,ml_based,smote,ET,12,2.19392728805542,77.13804116394606,96.29808272036658,62.230187797085634,75.60352172678216,0.8966273115046186,1.2627406120300293
nslkdd,ml_based,smote,LR,12,2.19392728805542,75.18630234208659,95.71807502841986,59.05088443855685,73.0409638554217,0.8666258702577907,0.7870540618896484
nslkdd,ml_based,smote,XGB,12,2.19392728805542,75.1375088715401,96.7408173823073,58.287228239694535,72.74495502066618,0.9131405167992881,0.915647029876709
nslkdd,ml_based,smote,LGBM,12,2.19392728805542,74.61408800567779,96.40992167101827,57.546949271409645,72.07339091397063,0.9320845191562536,0.7187418937683105
nslkdd,ml_based,smote,DNN,12,2.19392728805542,77.78566359119942,90.33921022785854,68.27709810644433,77.7738327711699,0.931843292263857,17.7699031829834
nslkdd,ml_based,adasyn,DT,15,6.407142400741577,75.62544357700497,93.79326808307472,61.23275929244916,74.09363066333506,0.7365152967515665,0.19427227973937988
nslkdd,ml_based,adasyn,RF,15,6.407142400741577,77.10255500354862,96.23869801084992,62.20681056650822,75.56796667928815,0.9402162414290409,1.6472818851470947
nslkdd,ml_based,adasyn,ET,15,6.407142400741577,77.27555003548616,96.24520153550864,62.51850697420712,75.79951816335208,0.9321111518505473,1.2941920757293701
nslkdd,ml_based,adasyn,LR,15,6.407142400741577,77.22232079489,95.26105362182503,63.126314969219976,75.93382387402166,0.8998446156014321,0.8652603626251221
nslkdd,ml_based,adasyn,XGB,15,6.407142400741577,77.08037615330021,96.15847784200385,62.22239538689317,75.55471448171453,0.9392942960303652,1.1376862525939941
nslkdd,ml_based,adasyn,LGBM,15,6.407142400741577,77.64371894960965,96.53648632509257,62.986051585755476,76.23314156370839,0.953297488246448,0.8120477199554443
nslkdd,ml_based,adasyn,DNN,15,6.407142400741577,77.98970901348474,95.34508583938242,64.4821943427102,76.93380438824842,0.8998491693989654,19.008933782577515
nslkdd,ml_hybrid,smote_tomek,DT,12,12.27739143371582,77.59048970901348,96.66546719443446,62.799033741136135,76.13604156825696,0.7464894614332387,0.12485790252685547
nslkdd,ml_hybrid,smote_tomek,RF,12,12.27739143371582,75.99804826117814,96.21419676214197,60.204161147042775,74.06413267507071,0.928662920066859,1.4597156047821045
nslkdd,ml_hybrid,smote_tomek,ET,12,12.27739143371582,77.21344925479063,96.45098985997103,62.26135743785552,75.67362788274849,0.9192512958242126,1.1946167945861816
nslkdd,ml_hybrid,smote_tomek,LR,12,12.27739143371582,75.19073811213627,95.73016675088428,59.05088443855685,73.04448407152152,0.8662963358026631,0.8357436656951904
